,Depth,Standard Deviation 0.5,Standard Deviation 1,Standard Deviation 2,Standard Deviation 3,Mean 0.5,Mean 1,Mean 2,Mean 3,Dz 0.5,Dz 1,Dz 2,dz 3,Dp 1,Dp 2,Dp 3,Linearity,Planarity,Sphericity,Omnivariance,Anisotropy,Change of Curvature,Eigenentropy,Scattering
0,19.89,0.009258200997725317,0.011511094014569604,0.013021725536622389,0.014161807293818832,19.884999999999998,19.88022727272727,19.881927083333334,19.882935779816513,0.019999999999999574,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.009770718068466522,0.00807239179721364,0.007063996351462265,0.0012876293576984457,0.998402060206972,0.00031031043532958645,0.03385279632343303,0.9996896895646705,0.00015523107279718539,0.6945560631084717,0.00031031043532958645
1,20.13,0.014577379737112702,0.01605191103202786,0.024003481059355774,0.028522942882470984,20.13875,20.15068181818182,20.15802083333333,20.156725,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.03999999999999915,0.02067464467836544,0.028016980926622637,0.028346601262455806,0.0035883928085121302,0.9960475672914744,0.0003640399000135016,0.03571631545799056,0.9996359600999865,0.00018231387213869582,0.6947711748703704,0.0003640399000135016
2,19.87,0.010606601717798196,0.017942532176032408,0.02058528157753828,0.02697958148575471,19.85625,19.846136363636365,19.835572916666667,19.838967889908258,0.030000000000001137,0.060000000000002274,0.08000000000000185,0.14000000000000057,0.02385292507824488,0.03442423809610773,0.031029240984935313,0.0015097174738845226,0.9979031704066949,0.0005871121194206605,0.04186573187819403,0.9994128878805794,0.0002936915404041991,0.6956255598309666,0.0005871121194206605
3,19.81,0.0118773493916535,0.008336856196873774,0.012019109275798771,0.017358563593893046,19.81375,19.81159090909091,19.812291666666667,19.81254587155963,0.00999999999999801,0.00999999999999801,0.03999999999999915,0.04999999999999716,0.0015908330310594465,0.0022916109483048785,0.0025458357158640865,0.002218202787665566,0.997372507934008,0.0004092892783264529,0.037129431323349435,0.9995907107216736,0.00020482989894888906,0.6949490839853097,0.0004092892783264529
4,20.25,0.007440238091428675,0.008757358729884902,0.014695776927788924,0.01536540415472776,20.24375,20.239772727272726,20.23255208333333,20.231353211009175,0.019999999999999574,0.030000000000001137,0.07000000000000028,0.07000000000000028,0.010226417260128073,0.017447228376113347,0.018646724851350882,0.0008882275388736828,0.9989675845017895,0.00014418795933681178,0.026220801196570935,0.9998558120406631,7.212081003699379e-05,0.6938570380104375,0.00014418795933681178
5,20.13,0.0070710678118656835,0.009453905084834496,0.009475645046124047,0.009124954225832137,20.1175,20.113863636363636,20.110885416666665,20.110642201834864,0.019999999999999574,0.029999999999997584,0.03999999999999915,0.03999999999999915,0.01613458085921593,0.019114457180876343,0.01935768273096983,0.0007107635144633144,0.9990673300459465,0.0002219064395901471,0.03027121664609895,0.9997780935604098,0.00011098034655886715,0.6941917703550914,0.0002219064395901471
6,19.66,0.012817398889233634,0.019561795617481996,0.024373475698523887,0.025276578282680803,19.6675,19.668181818181818,19.660833333333333,19.662981651376146,0.010000000000001563,0.030000000000001137,0.05000000000000071,0.05999999999999872,0.008176667226507563,0.0008331777971761768,0.002981463920150418,0.002881076494728959,0.9969421686345843,0.00017675487068673522,0.028071379394991422,0.9998232451293132,8.849709765078861e-05,0.6939991945232192,0.00017675487068673522
7,19.8,0.0051754916950666275,0.008352690695845587,0.007934443163017627,0.008301880959136011,19.80625,19.81,19.812135416666667,19.813715596330276,0.0,0.010000000000001563,0.019999999999999574,0.019999999999999574,0.009999248519307002,0.012135393322751042,0.013715594632230932,0.00039988002000348826,0.9995001999400102,9.992003998636268e-05,0.023202143632152793,0.9999000799600136,4.9967514120449885e-05,0.6936573771185834,9.992003998636268e-05
8,20.25,0.009910312089651737,0.009423105963759533,0.009134532363557706,0.011847567828033399,20.24875,20.253636363636364,20.254427083333333,20.25211009174312,0.019999999999999574,0.019999999999999574,0.019999999999999574,0.030000000000001137,0.003636168537923368,0.004427045832926524,0.0021100625062899785,0.0011106782897274587,0.9981687029101975,0.0007206188000749457,0.04481902099814633,0.999279381199925,0.0003603796847954391,0.6961147619608566,0.0007206188000749457
9,19.74,0.006408699444617559,0.010664992821451773,0.017019391465733683,0.01888457365731926,19.74875,19.755454545454548,19.756875,19.760619266055045,0.0,0.00999999999999801,0.019999999999999574,0.019999999999999574,0.015453556457941888,0.016874250784894684,0.0206187543649321,0.00039998660845004384,0.9992336399897334,0.0003663734018166567,0.035773439665114475,0.9996336265981833,0.00018318977970628754,0.6947797019139147,0.0003663734018166567
