,Easting Coord,Northing Coord,Depth
187,299622.58,5995715.071,20.11
188,299641.821,5995725.657,20.18
189,299660.462,5995731.23,20.22
190,299662.772,5995762.561,20.29
191,299637.217,5995773.797,20.24
192,299632.315,5995775.7,20.23
193,299623.574,5995793.961,20.26
194,299631.62,5995805.033,20.28
195,299636.301,5995815.659,20.22
196,299613.288,5995834.607,20.24
197,299609.612,5995832.996,20.2
