,Depth,Standard Deviation 0.5,Standard Deviation 1,Standard Deviation 2,Standard Deviation 3,Mean 0.5,Mean 1,Mean 2,Mean 3,Dz 0.5,Dz 1,Dz 2,dz 3,Dp 1,Dp 2,Dp 3,Linearity,Planarity,Sphericity,Omnivariance,Anisotropy,Change of Curvature,Eigenentropy,Scattering
0,19.85,0.050343266128097815,0.03395867325679429,0.025686494893241128,0.030645044599454285,19.837,19.838936170212765,19.825572139303482,19.817242152466367,0.11000000000000298,0.11000000000000298,0.11000000000000298,0.1700000000000017,0.011208874158910476,0.02421368547220482,0.032707067255614675,0.10429484440478307,0.8866867825431163,0.009018373052100629,0.10534141397708176,0.9909816269478994,0.004734741245363432,0.7184260825982989,0.009018373052100629
1,19.65,0.0299873710792129,0.0337534311981325,0.03481816785201097,0.03238307732604608,19.660833333333333,19.673529411764704,19.680792079207922,19.674333333333333,0.04999999999999716,0.04999999999999716,0.05999999999999872,0.05999999999999872,0.02357857837341726,0.03077083603420761,0.02427102436195128,0.25843495996436233,0.7397891206123924,0.0017759194232452754,0.06287459021964296,0.9982240805767547,0.00101868737357981,0.6894375728540936,0.0017759194232452754
2,19.97,0.04141438777950904,0.03433899629672745,0.03187498102763202,0.02911212922314709,20.013333333333335,20.034285714285716,20.0221608040201,20.014260485651214,0.019999999999999574,0.019999999999999574,0.05999999999999872,0.05999999999999872,0.06371602386934684,0.052057168912142515,0.0441606436361326,0.24544074449567116,0.7438368456014159,0.010722409902912991,0.11372289535846684,0.989277590097087,0.006074050454967697,0.7162360658369045,0.010722409902912991
3,19.91,0.03381321240777511,0.04630294358930102,0.03350466096652667,0.028280412026237517,19.971,20.0165306122449,20.03286432160804,20.02188053097345,-0.010000000000001563,0.0,0.0,0.0,0.10632744015310892,0.12289923801654368,0.11199168101484248,0.08453947215267732,0.9042124235167229,0.011248104330599735,0.11291637914853787,0.9887518956694001,0.005837989274945557,0.723979849805435,0.011248104330599735
4,20.24,0.03675746333890654,0.049834833583527326,0.037430815322930085,0.0318165366897306,20.212,20.26375,20.293316582914574,20.282044444444445,0.06999999999999673,0.10999999999999943,0.10999999999999943,0.10999999999999943,0.022911109175765887,0.053265021633706056,0.042119787252886454,0.08414806161277248,0.9077918271139782,0.008060111273249307,0.10120536933748496,0.9919398887267507,0.004189438532115705,0.7164010601192408,0.008060111273249307
5,20.18,0.05606543795720669,0.04653878582278016,0.029188199360362016,0.027256828431609263,20.339,20.395777777777777,20.396262626262626,20.386881959910912,-0.05999999999999872,-0.05999999999999872,-0.05999999999999872,-0.05999999999999872,0.21448740552295933,0.21627583289227914,0.20691012552924803,0.07196593704511703,0.9062888168200751,0.021745246134807904,0.139633821590326,0.9782547538651922,0.011152670475798763,0.7459612341823831,0.021745246134807904
6,19.82,0.038484550225521004,0.041075954554376556,0.03821389155186463,0.03433858372292028,19.889166666666668,19.9325,19.949,19.937755555555555,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,0.11235286004375669,0.12874079136236105,0.11760457477066667,0.26396431090004646,0.7271927628698852,0.008842926230068358,0.10700393238258121,0.9911570737699317,0.00506793203399758,0.7099267908693672,0.008842926230068358
7,19.83,0.04229764661409508,0.04523002434269532,0.03754685075643213,0.03330907124606424,19.900909090909092,19.9454,19.948643216080402,19.938940397350994,-0.010000000000001563,-0.010000000000001563,-0.010000000000001563,0.0,0.11689501284854488,0.11903424531919882,0.10901869976032687,0.23769018502427422,0.7555311200712448,0.006778694904480921,0.09772589081514287,0.9932213050955192,0.0038317443511856498,0.7065487544243899,0.006778694904480921
8,19.81,0.03563280749108795,0.03807886552931959,0.036298455744662776,0.03924164743275027,19.851666666666667,19.882857142857144,19.8999,19.889933628318584,0.029999999999997584,0.029999999999997584,0.029999999999997584,0.16000000000000014,0.07361106009921059,0.08985760511131959,0.07989905693466427,0.25227225129663605,0.7394342234373966,0.008293525265967378,0.10462395108455953,0.9917064747340326,0.004722907056371017,0.7094734209065909,0.008293525265967378
9,19.8,0.030203016773531793,0.019185544203461705,0.03408675747524056,0.03870393457239224,19.763,19.767500000000002,19.78595,19.791247216035636,0.08999999999999986,0.08999999999999986,0.08999999999999986,0.08999999999999986,0.03283511786139571,0.013944284932222217,0.008380534047319088,0.06892202584894466,0.9291819825461131,0.0018959916049423643,0.06252420085540517,0.9981040083950575,0.000980867636363033,0.6996057903865092,0.0018959916049423643
