,Unnamed: 0,Easting Coord,Northing Coord,Depth,Standard Deviation 0.5,Standard Deviation 1,Standard Deviation 2,Standard Deviation 3,Mean 0.5,Mean 1,Mean 2,Mean 3,Dz 0.5,Dz 1,Dz 2,dz 3,Dp 1,Dp 2,Dp 3,Linearity,Planarity,Sphericity,Omnivariance,Anisotropy,Change of Curvature,Eigenentropy,Scattering,Label
0,0,300199.651,5991510.544,18.37,0.0564559361561978,0.0889116015796993,0.0645541308505924,0.0532045127613432,18.395454545454545,18.34234042553192,18.331818181818186,18.30801339285714,0.0800000000000018,0.240000000000002,0.240000000000002,0.240000000000002,0.025982821607613,0.0374445232737343,0.0617470961224171,0.3812458353115285,0.6113557177294879,0.0073984469589835,0.1021076463663403,0.9926015530410164,0.0045496633624615,0.6911986062404617,0.0073984469589835,1.0
1,1,300188.093,5991682.361,17.46,0.0925562891794321,0.1773433581126361,0.078511505441268,0.0626781688840811,17.725,18.0544,18.09272222222222,18.063439635535307,-0.1899999999999977,-0.1899999999999977,-0.1899999999999977,-0.1899999999999977,0.582470363820903,0.6397094183193985,0.6050938990301802,0.7304874581355923,0.2459540168153407,0.0235585250490669,0.1432033896664548,0.976441474950933,0.0182190489385092,0.5985886219877219,0.0235585250490669,1.0
2,2,300147.567,5991874.757,17.25,0.0510881590977794,0.0475946239290777,0.0511687175226329,0.0600387819149093,17.219,17.266666666666666,17.27331658291457,17.254368070953436,0.129999999999999,0.129999999999999,0.129999999999999,0.1600000000000001,0.0170633453817572,0.0244584407191723,0.0042353568860562,0.4755226708638474,0.5159795259905957,0.0084978031455568,0.1073518053312445,0.9915021968544432,0.005543340506058,0.6744356133983032,0.0084978031455568,1.0
3,3,300158.076,5991833.19,16.87,0.056774407379852,0.0502758348957835,0.0338273128111852,0.0376633281665041,16.977,17.044999999999998,17.045175879396986,17.04997772828508,-0.0299999999999975,-0.0299999999999975,-0.0299999999999975,-0.0299999999999975,0.1751721555774565,0.1754916376521578,0.1800271249521756,0.0810167138988481,0.8841300782028114,0.0348532078983404,0.1625406177748825,0.9651467921016595,0.0178383442040209,0.769409700607339,0.0348532078983404,1.0
4,4,300231.649,5991526.686,18.4,0.0948164095246783,0.0608534893257614,0.0429550425257845,0.0424551993483982,18.479166666666668,18.51895833333333,18.5053,18.49729490022173,0.0999999999999978,0.0999999999999978,0.0999999999999978,0.0999999999999978,0.1187986970180645,0.1050909712503198,0.0973678431400912,0.2095381084963839,0.7598602138841641,0.0306016776194519,0.1588121107839877,0.969398322380548,0.0168042885148639,0.7600775818341438,0.0306016776194519,1.0
5,5,300201.416,5991741.618,17.56,0.0769179019238276,0.0917357545270617,0.0542569496278085,0.0430158475870397,17.611818181818183,17.736170212765956,17.77595,17.763658536585368,0.0599999999999987,0.0599999999999987,0.0599999999999987,0.0599999999999987,0.1762119156192057,0.216015073525341,0.2036499526593616,0.0916094454162011,0.8706478522684497,0.0377427023153491,0.1669280395457318,0.9622572976846508,0.0193936885778757,0.7742442280058555,0.0377427023153491,1.0
6,6,300135.174,5991905.844,17.54,0.0307679486912377,0.0386642927807025,0.0533291665038934,0.0540943700708534,17.71666666666667,17.700833333333332,17.67,17.6492576419214,-0.1500000000000021,-0.1099999999999994,-0.0399999999999991,-0.0100000000000015,0.1852008911664598,0.1681697128224186,0.1597613545600325,0.823046975843302,0.1742416387758759,0.002711385380822,0.0663627849007028,0.997288614619178,0.0022984378937778,0.4386000307354417,0.002711385380822,1.0
7,7,300190.505,5991694.605,18.02,0.0927459874162664,0.0538729609207379,0.0441199485347923,0.0489535635683447,17.992727272727272,18.016530612244896,18.01872448979592,18.016953642384102,0.2100000000000008,0.2100000000000008,0.2100000000000008,0.2100000000000008,0.0035802207421511,0.0010979563085129,0.0030386555299628,0.4183506935213365,0.5503830065605864,0.0312662999180771,0.1630425367821486,0.9687337000819228,0.0193849571509362,0.7406319017618918,0.0312662999180771,1.0
8,8,300190.447,5991775.207,17.33,0.063695705170308,0.0541377595580641,0.0358266119122304,0.0327389072795075,17.535,17.610232558139536,17.626868686868686,17.61580357142857,-0.0800000000000018,-0.0800000000000018,-0.0800000000000018,-0.0800000000000018,0.2798157935321796,0.296936733466282,0.2857801355712582,0.4957556142293808,0.4759888332736853,0.0282555524969337,0.1581907770579193,0.971744447503066,0.0184375553899701,0.717944844301727,0.0282555524969337,1.0
9,9,300191.542,5991774.587,17.51,0.0253460892925167,0.0255700318852411,0.0435275861238463,0.0422599828645526,17.586666666666666,17.60408163265306,17.60115,17.597439293598235,-0.0399999999999991,-0.0399999999999991,0.1000000000000014,0.1000000000000014,0.0941310778289335,0.0911751774256117,0.0873771979095181,0.2595886331407684,0.7351056503286554,0.0053057165305761,0.0903854473082504,0.9946942834694238,0.0030392762842611,0.7005601455459015,0.0053057165305761,1.0
