,Unnamed: 0,Easting Coord,Northing Coord,Depth,Standard Deviation 0.5,Standard Deviation 1,Standard Deviation 2,Standard Deviation 3,Mean 0.5,Mean 1,Mean 2,Mean 3,Dz 0.5,Dz 1,Dz 2,dz 3,Dp 1,Dp 2,Dp 3,Linearity,Planarity,Sphericity,Omnivariance,Anisotropy,Change of Curvature,Eigenentropy,Scattering,Label
41,41,299796.117,5994702.496,18.13,0.046761807778,0.0569904325976343,0.0326131289151591,0.0280450245862061,18.366666666666667,18.47642857142857,18.473692307692307,18.47195067264574,-0.1700000000000017,-0.1700000000000017,-0.1700000000000017,-0.1700000000000017,0.3466074828393175,0.3436208107304992,0.3420742404741759,0.1627131058272388,0.7977074021459534,0.0395794920268077,0.1711386677199548,0.9604205079731922,0.0210880712222416,0.776930139491097,0.0395794920268077,1.0
42,42,299816.571,5994407.734,18.48,0.0299393325971642,0.0292390186696811,0.0260456662833874,0.034605865152193,18.548181818181817,18.574375,18.58904522613065,18.598758314855875,-0.0199999999999995,-0.0199999999999995,-0.0199999999999995,-0.0199999999999995,0.094420226640068,0.1093925258028321,0.1190440144200692,0.2317209741476899,0.763553456692619,0.0047255691596909,0.0866857755530677,0.9952744308403092,0.002665288726823,0.701171867195405,0.0047255691596909,1.0
43,43,299828.151,5994437.026,18.45,0.0366391081008289,0.0352999778381534,0.0277541765090467,0.0251977929956986,18.508333333333333,18.535510204081632,18.5439898989899,18.547278761061943,0.0,0.0,0.0,0.0,0.0852923999082122,0.0942409221916023,0.0973469955861219,0.2616434357624898,0.7341565843932122,0.0041999798442979,0.0836856324762523,0.995800020155702,0.0024102402063004,0.6970701825635862,0.0041999798442979,1.0
44,44,299778.562,5994719.863,18.47,0.0405548636996473,0.0404145188432736,0.0304545134082729,0.0261325308647557,18.464166666666667,18.487142857142857,18.5104,18.50986725663717,0.0700000000000002,0.0700000000000002,0.0700000000000002,0.0700000000000002,0.0178953763679601,0.0405917565440177,0.0398215801142214,0.2536719074742288,0.7450983301284952,0.0012297623972759,0.0556098986694795,0.998770237602724,0.0007037033960343,0.6878909306946238,0.0012297623972759,1.0
45,45,299824.469,5994318.006,18.69,0.0402768199119822,0.0383337020186322,0.0357617415639375,0.0383470897302537,18.69,18.708510638297877,18.72890625,18.72622340425532,0.0400000000000027,0.0400000000000027,0.0400000000000027,0.0400000000000027,0.0198179967701435,0.0400498356320895,0.041080783936195,0.0887919104734844,0.9079553731044012,0.0032527164221144,0.0750311224365001,0.9967472835778856,0.0016990248178534,0.7034252073165079,0.0032527164221144,1.0
46,46,299805.723,5994746.082,18.53,0.0470224532655532,0.053244491221258,0.0358832416988093,0.0359321580244035,18.61888888888889,18.70304347826087,18.733131313131317,18.723458980044345,-0.009999999999998,-0.009999999999998,-0.009999999999998,-0.009999999999998,0.1730949995071569,0.2029743133170996,0.1932982556754723,0.3714498205391907,0.5998059439956177,0.0287442354651916,0.1583302528756647,0.9712557645348084,0.0173440730906433,0.742852716560181,0.0287442354651916,1.0
47,47,299778.593,5994605.066,18.16,0.0497852531235055,0.068661462671989,0.0411548558363934,0.0342900418063629,18.3425,18.45372093023256,18.475888324873097,18.46482142857143,-0.129999999999999,-0.129999999999999,-0.129999999999999,-0.129999999999999,0.2945838855521288,0.3158698135812301,0.3048239045165246,0.005346621069564,0.9539807036681496,0.0406726752622861,0.1686646910549975,0.9593273247377138,0.0199833708110312,0.7772666311415367,0.0406726752622861,1.0
48,48,299816.567,5994389.18,18.64,0.0210878393795326,0.0259158485424221,0.0247509987737568,0.0244271384705489,18.64583333333333,18.66583333333333,18.657910447761196,18.64795100222717,0.0399999999999991,0.0399999999999991,0.0399999999999991,0.0500000000000007,0.0271112501868628,0.0180173277913127,0.0079890784836607,0.2584292968816178,0.7379609642443723,0.0036097388740097,0.0795614054346659,0.9963902611259902,0.002068404382236,0.6955369967058358,0.0036097388740097,1.0
49,49,299804.544,5994451.319,18.56,0.037859388972002,0.0253916264519931,0.0197999416272424,0.0187685714547882,18.621666666666663,18.6404,18.63935,18.637350993377485,0.0,0.0,0.0,0.0,0.0802771754406421,0.0793748256301114,0.0773281000056158,0.250299765290951,0.7421893660872957,0.0075108686217533,0.1012438531681057,0.9924891313782468,0.0042743120661578,0.7075431805181189,0.0075108686217533,1.0
50,50,299851.291,5994437.027,18.56,0.0612809688472454,0.0572708173860312,0.0489278628087281,0.0466240900638095,18.60875,18.654411764705884,18.647235772357725,18.625333333333334,0.009999999999998,0.009999999999998,0.009999999999998,0.009999999999998,0.099561316659674,0.1011542117921635,0.0879881448345259,0.4961914204972983,0.4927332198742041,0.0110753596284975,0.1170833403318711,0.9889246403715024,0.0073110284837063,0.6762585873804622,0.0110753596284975,1.0
51,51,299762.576,5994684.983,18.36,0.0290767010758542,0.0328235853480704,0.0404675873773162,0.0363085031292383,18.373636363636365,18.3796,18.37225,18.369690265486724,0.0300000000000011,0.0399999999999991,0.0700000000000002,0.0999999999999978,0.0205810056068003,0.0120475958974566,0.0096876765455817,0.2380184341036693,0.7613452732830678,0.0006362926132628,0.044569963949233,0.9993637073867372,0.0003609929459133,0.6869706352256237,0.0006362926132628,1.0
52,52,299791.58,5994592.956,18.32,0.0311359028204493,0.0393289230007278,0.0281478219984187,0.025859393661386,18.432222222222222,18.503541666666667,18.50035175879397,18.497666666666667,-0.0599999999999987,-0.0599999999999987,-0.0599999999999987,-0.0599999999999987,0.1832393158547347,0.1804413338450103,0.1778623419286305,0.3720915080718531,0.6149944492658129,0.0129140426623338,0.1224403547550609,0.987085957337666,0.0078704688594229,0.7075136599686471,0.0129140426623338,1.0
53,53,299846.879,5994376.283,18.53,0.0382635931938258,0.0324303673029503,0.0348130672730461,0.0398939095689399,18.62846153846154,18.656875,18.65817258883249,18.65835920177384,-0.0299999999999975,-0.0299999999999975,-0.0299999999999975,-0.0299999999999975,0.1285582440323196,0.128196291909262,0.1281210670276777,0.0357902908423072,0.9575306158353732,0.0066790933223194,0.0943990336610369,0.9933209066776804,0.0033888737476792,0.7132892624571676,0.0066790933223194,1.0
