,Easting Coord,Northing Coord,Depth,Standard Deviation 0.5,Standard Deviation 1,Standard Deviation 2,Standard Deviation 3,Mean 0.5,Mean 1,Mean 2,Mean 3,Dz 0.5,Dz 1,Dz 2,dz 3,Dp 1,Dp 2,Dp 3,Linearity,Planarity,Sphericity,Omnivariance,Anisotropy,Change of Curvature,Eigenentropy,Scattering,Label
250,300358.5,5990409.5,18.73,0.01125991626459616,0.01493290137047661,0.014558567852153596,0.017002707416021938,18.73125,18.736590909090907,18.73421875,18.73032110091743,0.010000000000001563,0.019999999999999574,0.030000000000001137,0.03999999999999915,0.0065888452518265694,0.004218573834805283,0.00032109224412124604,0.0021734541267217408,0.9976384771747667,0.00018806869851158817,0.028654435929590383,0.9998119313014884,9.41277892263539e-05,0.6940481130856814,0.00018806869851158817,0.0
251,300340.25,5990547.5,18.52,0.005345224838249323,0.010625272039795432,0.012655662529725895,0.011814120670677766,18.525,18.521818181818183,18.523958333333333,18.525940366972478,0.0,0.019999999999999574,0.030000000000001137,0.030000000000001137,0.0018179279504693113,0.003958178334869444,0.005940295508480632,0.0004442864583798521,0.9994669036194447,8.880992217546763e-05,0.022308482740677146,0.9999111900778246,4.44128549516544e-05,0.6936058879150927,8.880992217546763e-05,0.0
252,300366.25,5990429.5,18.75,0.008864052604280569,0.019576650457342967,0.017997478978004473,0.021928627528006808,18.7475,18.749318181818182,18.748333333333335,18.746605504587155,0.010000000000001563,0.030000000000001137,0.030000000000001137,0.07000000000000028,0.0006813956424593925,0.0016665158909745514,0.0033943035596166746,0.001287458085231176,0.9985352216051905,0.00017732030957834185,0.028093820042030426,0.9998226796904217,8.870939461417918e-05,0.6940018614041398,0.00017732030957834185,0.0
253,300292.75,5990745.25,18.2,0.010606601717798196,0.012060453783110587,0.02016234016013512,0.023157940398966976,18.19375,18.181818181818183,18.17234375,18.162201834862387,0.019999999999999574,0.05000000000000071,0.0799999999999983,0.09999999999999787,0.018181603981247463,0.02765296117286198,0.03779654543905053,0.0011553103961050853,0.9979024261518311,0.000942263452063776,0.04900492247209842,0.9990577365479362,0.00047118191796574307,0.6969008650470512,0.000942263452063776,0.0
254,300335.25,5990553.5,18.51,0.004629100498863481,0.007624928516629854,0.008072938657572575,0.009870403514997354,18.5075,18.515,18.51697916666667,18.51880733944954,0.010000000000001563,0.010000000000001563,0.010000000000001563,0.020000000000003126,0.004999830009182916,0.006979131328535005,0.008807327150861967,8.890864390581595e-05,0.9996000355634577,0.000311055792636477,0.03387310393971071,0.9996889442073635,0.00015551062319746817,0.6945585273630139,0.000311055792636477,0.0
255,300336.25,5990477.5,18.77,0.014142135623731008,0.03627691826980798,0.039424303947061715,0.034960546299112986,18.75,18.71840909090909,18.686666666666667,18.696376146788992,0.03999999999999915,0.120000000000001,0.14000000000000057,0.14000000000000057,0.051589819267519495,0.08333198516629638,0.07362307489756859,0.000356632949972453,0.9962679980963466,0.0033753689536809737,0.07488079300895473,0.996624631046319,0.001685140978968219,0.7044239862704107,0.0033753689536809737,0.0
256,300360.5,5990544.75,18.39,0.007559289460184048,0.010672424010011531,0.01713046323092617,0.021368946336973945,18.395,18.395227272727272,18.395885416666665,18.395779816513762,0.0,0.019999999999999574,0.030000000000001137,0.05000000000000071,0.005226526365731843,0.005884724945644848,0.005779335930128582,0.0007995733903738037,0.9989341862116164,0.0002662403980098178,0.0321658243805176,0.9997337596019902,0.00013315570717078678,0.694376231314021,0.0002662403980098178,0.0
257,300286.25,5990771.5,18.27,0.007071067811864965,0.02233111387581193,0.028264982744797554,0.02957203798812057,18.2625,18.246136363636364,18.229791666666667,18.21827981651376,0.019999999999999574,0.05999999999999872,0.08999999999999986,0.129999999999999,0.023847969685448337,0.04019896489626262,0.05171673066797667,0.0007994669368226105,0.9990674128358076,0.00013312022736982623,0.02553173293774714,0.9998668797726302,6.658229713221404e-05,0.6938078560906489,0.00013312022736982623,0.0
258,300303.0,5990694.0,18.17,0.006408699444616173,0.008844439014426761,0.012712418520574238,0.014316200654540583,18.17125,18.170909090909092,18.168333333333333,18.16869266055046,0.010000000000001563,0.020000000000003126,0.030000000000001137,0.05000000000000071,0.0009089861559914426,0.0016666306554498078,0.0013073384143353906,0.0004443900664694001,0.9992336740323846,0.0003219359011459699,0.034265366879461925,0.999678064098854,0.00016097780677446703,0.6946025588546612,0.0003219359011459699,0.0
259,300344.5,5990694.25,18.19,0.013562026818604876,0.017490559217292135,0.01635629418637772,0.01791004742000795,18.188750000000002,18.196818181818184,18.197604166666668,18.19922018348624,0.019999999999999574,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.006817012370447629,0.007603694190038368,0.009219826752087103,0.0021757652949292317,0.9965741367941795,0.0012500979108912601,0.053848103960942605,0.9987499020891087,0.0006253383831182499,0.6979515365298984,0.0012500979108912601,0.0
260,300328.5,5990486.0,18.68,0.007440238091427907,0.01248042865312525,0.0204987309657014,0.025980985348995997,18.67625,18.675227272727273,18.66953125,18.667821100917433,0.00999999999999801,0.030000000000001137,0.05000000000000071,0.05999999999999872,0.004771293111843988,0.010466926454682836,0.012177501304904581,0.0008882275388724625,0.9989675845017907,0.00014418795933685135,0.02622080119657333,0.9998558120406631,7.212081003701353e-05,0.6938570380104377,0.00014418795933685135,0.0
261,300331.75,5990552.75,18.52,0.0064086994446166685,0.004800458047207829,0.009539460618951277,0.010382234032583005,18.528750000000002,18.529545454545456,18.5296875,18.530504587155963,0.0,0.0,0.019999999999999574,0.019999999999999574,0.00954544440355676,0.009687342102552066,0.010504486819286285,0.0005775531107829619,0.9992337761240516,0.00018867076516536468,0.028677350694339285,0.9998113292348346,9.435372883237539e-05,0.6940506008395259,0.00018867076516536468,0.0
262,300292.75,5990723.0,18.1,0.0035355339059320342,0.009542937350572493,0.017154641961804447,0.02109344741907791,18.10125,18.107045454545457,18.10296875,18.105632183908046,0.0,0.010000000000001563,0.05000000000000071,0.05000000000000071,0.007044881960609928,0.0029685790432267822,0.0055739699066634785,4.4450864752653846e-05,0.9997666770385343,0.000188872096713129,0.02868499709577362,0.999811127903287,9.442922956373116e-05,0.6940512897137044,0.000188872096713129,0.0
