,0,1,2,3,4,5,6
79,Manual MBES Boulder,300046.217,5992802.511,18.36,1.311,1.177,0.283
80,Manual MBES Boulder,300025.633,5992801.374,18.8,1.066,0.869,0.158
81,Manual MBES Boulder,300045.008,5992809.183,18.42,1.084,0.886,0.243
82,Manual MBES Boulder,297346.878,5992416.456,8.91,0.875,0.646,0.087
83,Manual MBES Boulder,302236.352,5993103.678,21.37,1.969,2.195,1.473
84,Manual MBES Boulder,300530.097,5989298.84,17.82,1.467,1.095,0.125
85,Manual MBES Boulder,302441.254,5993151.274,22.44,2.141,1.961,0.654
86,Manual MBES Boulder,299301.631,5992683.622,16.92,1.86,1.729,0.472
87,Manual MBES Boulder,299794.631,5994751.832,18.24,1.387,1.657,0.754
88,Manual MBES Boulder,299794.307,5994753.409,18.45,1.12,0.733,0.431
89,Manual MBES Boulder,299793.961,5994755.933,18.69,1.355,0.895,0.237
90,Manual MBES Boulder,301204.325,5992969.128,21.86,2.04,1.048,0.482
91,Manual MBES Boulder,301206.163,5992965.595,21.61,1.396,0.98,0.33
92,Manual MBES Boulder,300104.381,5992231.897,18.09,6.357,1.847,0.321
93,Manual MBES Boulder,299680.857,5992734.355,17.52,1.906,1.131,0.283
94,Manual MBES Boulder,299679.325,5992732.317,17.7,2.367,0.898,0.236
95,Manual MBES Boulder,300129.008,5992782.296,18.74,1.835,1.122,0.369
96,Manual MBES Boulder,300128.306,5992779.565,18.68,1.612,1.422,0.382
97,Manual MBES Boulder,300127.313,5992780.651,18.92,1.469,1.283,0.199
98,Manual MBES Boulder,302443.261,5993136.598,22.97,2.484,1.13,0.387
99,Manual MBES Boulder,299310.815,5992698.195,17.43,1.971,1.245,0.288
100,Manual MBES Boulder,299309.313,5992699.841,17.36,1.051,1.015,0.212
101,Manual MBES Boulder,299313.627,5992700.257,17.34,1.34,0.933,0.186
102,Manual MBES Boulder,300024.952,5992843.276,18.56,1.39,0.941,0.535
103,Manual MBES Boulder,300123.899,5992119.208,17.69,3.046,2.541,0.704
104,Manual MBES Boulder,300123.715,5992122.44,18.23,2.936,1.821,0.375
105,Manual MBES Boulder,303163.019,5993143.433,25.66,2.694,2.135,0.644
106,Manual MBES Boulder,303165.354,5993141.251,25.46,2.608,1.897,0.344
107,Manual MBES Boulder,300648.724,5992853.413,20.41,2.505,2.237,0.271
108,Manual MBES Boulder,300114.329,5992270.025,17.32,1.512,1.426,0.354
109,Manual MBES Boulder,300632.168,5992873.702,19.86,1.355,1.625,0.823
110,Manual MBES Boulder,300624.025,5992849.236,19.87,2.297,1.539,0.669
111,Manual MBES Boulder,300363.039,5990385.15,18.18,2.196,1.906,0.923
112,Manual MBES Boulder,302002.984,5993075.851,20.68,2.181,1.37,0.555
113,Manual MBES Boulder,300059.419,5992884.998,18.67,1.382,1.128,0.418
114,Manual MBES Boulder,301899.68,5993068.066,21.35,3.997,1.772,0.512
115,Manual MBES Boulder,300124.981,5992191.03,17.88,0.901,0.864,0.363
116,Manual MBES Boulder,300123.696,5992188.149,18.05,0.965,1.231,0.197
117,Manual MBES Boulder,300056.881,5992870.822,18.52,2.735,1.245,0.364
118,Manual MBES Boulder,301867.747,5993066.085,21.51,1.69,1.138,0.494
119,Manual MBES Boulder,301816.458,5993048.925,21.84,1.631,1.365,0.32
120,Manual MBES Boulder,300113.58,5992255.861,17.48,1.906,1.255,0.177
121,Manual MBES Boulder,300111.779,5992258.717,17.61,0.894,0.646,0.145
122,Manual MBES Boulder,300263.14,5991050.307,17.46,1.727,0.933,0.207
123,Manual MBES Boulder,299889.145,5993839.952,18.79,3.303,1.93,0.559
124,Manual MBES Boulder,299890.154,5993843.835,19.12,1.991,2.242,0.63
125,Manual MBES Boulder,299318.326,5992695.64,17.22,1.212,1.249,0.34
126,Manual MBES Boulder,299665.147,5992735.181,17.79,2.148,1.077,0.3
127,Manual MBES Boulder,299665.26,5992733.315,17.6,1.359,1.473,0.489
128,Manual MBES Boulder,302397.191,5993098.055,22.32,1.386,1.1,0.169
129,Manual MBES Boulder,302393.286,5993098.795,22.34,0.635,0.811,0.158
130,Manual MBES Boulder,300040.989,5992815.35,18.41,1.624,1.031,0.194
131,Manual MBES Boulder,303237.014,5993164.536,24.86,2.152,1.254,0.208
132,Manual MBES Boulder,303240.885,5993165.526,24.51,1.068,0.88,0.153
133,Manual MBES Boulder,300127.196,5992360.035,17.85,0.892,0.937,0.165
134,Manual MBES Boulder,300526.494,5992858.656,19.28,1.173,0.932,0.175
135,Manual MBES Boulder,300524.721,5992856.699,19.29,1.087,0.949,0.167
136,Manual MBES Boulder,299832.243,5994151.17,18.84,1.993,0.788,0.365
137,Manual MBES Boulder,301104.01,5992925.749,22.15,1.853,0.663,0.186
138,Manual MBES Boulder,300159.955,5992098.264,17.98,1.766,1.152,0.375
139,Manual MBES Boulder,300160.554,5992096.76,18.2,1.858,0.981,0.127
140,Manual MBES Boulder,301251.456,5992985.537,21.86,1.333,0.943,0.171
141,Manual MBES Boulder,300032.206,5992954.955,18.69,1.849,1.485,0.724
142,Manual MBES Boulder,299686.532,5995428.977,19.85,1.963,0.913,0.249
143,Manual MBES Boulder,301972.67,5993083.234,19.82,1.429,1.024,0.302
144,Manual MBES Boulder,300147.819,5991957.721,17.98,1.115,0.993,0.277
145,Manual MBES Boulder,300149.955,5991957.532,17.76,1.304,1.062,0.249
146,Manual MBES Boulder,303507.754,5993168.72,26.39,2.845,0.73,0.184
147,Manual MBES Boulder,300030.426,5992749.183,18.85,1.177,0.724,0.224
148,Manual MBES Boulder,299934.482,5993502.818,18.44,0.989,0.58,0.116
149,Manual MBES Boulder,299932.373,5993498.724,18.63,1.077,0.835,0.117
150,Manual MBES Boulder,300238.471,5991147.7,17.76,1.838,1.308,0.238
151,Manual MBES Boulder,300108.618,5992474.276,18.01,2.052,1.392,0.298
152,Manual MBES Boulder,302179.582,5993098.674,21.91,1.606,1.177,0.624
153,Manual MBES Boulder,300497.178,5992847.858,19.25,1.06,0.968,0.181
154,Manual MBES Boulder,302128.633,5993092.824,21.14,1.434,0.999,0.212
155,Manual MBES Boulder,302129.07,5993091.283,21.19,1.638,1.362,0.235
156,Manual MBES Boulder,300768.211,5992896.377,20.95,1.422,1.02,0.216
157,Manual MBES Boulder,300769.06,5992892.156,20.97,1.412,1.46,0.317
158,Manual MBES Boulder,299874.947,5994001.26,18.91,1.402,0.634,0.209
159,Manual MBES Boulder,300129.08,5992134.695,17.97,1.085,1.175,0.289
160,Manual MBES Boulder,300548.771,5992858.392,19.14,2.908,1.498,0.352
161,Manual MBES Boulder,298715.054,5992589.695,15.41,2.208,1.508,0.307
162,Manual MBES Boulder,298957.793,5992618.076,15.6,1.867,1.106,0.538
163,Manual MBES Boulder,298955.664,5992619.451,15.96,1.515,0.805,0.18
164,Manual MBES Boulder,303296.881,5993187.265,24.86,3.988,1.239,0.369
165,Manual MBES Boulder,303299.906,5993191.391,24.76,1.112,0.623,0.183
166,Manual MBES Boulder,300132.855,5992217.501,17.72,1.264,0.591,0.236
167,Manual MBES Boulder,300881.811,5992908.871,21.11,1.019,0.852,0.217
168,Manual MBES Boulder,300348.292,5990403.4,18.61,2.044,1.779,0.56
169,Manual MBES Boulder,299933.576,5993459.209,18.28,2.133,0.904,0.099
170,Manual MBES Boulder,299848.996,5994235.423,18.73,3.76,2.231,0.244
171,Manual MBES Boulder,300567.944,5992872.429,19.73,2.619,0.922,0.262
172,Manual MBES Boulder,302426.248,5993133.327,22.54,1.538,1.293,0.564
173,Manual MBES Boulder,300362.169,5990517.021,18.14,1.382,1.198,0.666
174,Manual MBES Boulder,301871.542,5993055.868,21.57,1.586,1.372,0.309
175,Manual MBES Boulder,302089.403,5993103.406,20.44,2.047,2.024,0.777
176,Manual MBES Boulder,299961.758,5993252.573,18.71,1.307,0.568,0.154
177,Manual MBES Boulder,300104.269,5992464.587,18.11,1.331,1.09,0.263
178,Manual MBES Boulder,300103.007,5992468.03,18.29,1.385,0.794,0.172
179,Manual MBES Boulder,300539.53,5992868.428,19.34,2.396,0.993,0.183
180,Manual MBES Boulder,300258.357,5991323.117,18.44,1.62,1.482,0.483
181,Manual MBES Boulder,301650.527,5993025.693,22.43,3.416,1.417,0.273
182,Manual MBES Boulder,299934.55,5993424.884,18.04,1.263,0.631,0.143
183,Manual MBES Boulder,300533.664,5992859.965,19.12,1.576,0.961,0.314
184,Manual MBES Boulder,301901.494,5993052.562,21.3,1.378,1.304,0.24
185,Manual MBES Boulder,301900.195,5993048.824,21.47,1.615,1.089,0.169
186,Manual MBES Boulder,299863.735,5993959.873,19.07,1.668,1.193,0.316
187,Manual MBES Boulder,300877.201,5992887.204,21.24,2.536,1.273,0.315
188,Manual MBES Boulder,300199.651,5991510.544,18.37,2.655,1.872,0.428
189,Manual MBES Boulder,299913.471,5993631.432,19.47,1.503,1.192,0.714
190,Manual MBES Boulder,299912.415,5993629.237,19.51,1.272,0.835,0.363
191,Manual MBES Boulder,299853.476,5994093.064,18.54,1.485,1.141,0.37
192,Manual MBES Boulder,299851.564,5994338.815,18.76,2.804,2.763,0.389
193,Manual MBES Boulder,300483.306,5992852.8,19.25,2.357,1.288,0.229
194,Manual MBES Boulder,300479.532,5992853.321,19.28,1.376,1.087,0.143
195,Manual MBES Boulder,300069.394,5992427.02,18.2,2.184,1.613,0.307
196,Manual MBES Boulder,302079.455,5993100.095,21.18,2.766,1.049,0.274
197,Manual MBES Boulder,300146.887,5991988.918,18.18,1.567,1.09,0.267
198,Manual MBES Boulder,299888.581,5993850.149,18.97,2.564,1.636,0.442
199,Manual MBES Boulder,299890.718,5993849.32,18.81,1.194,1.127,0.379
200,Manual MBES Boulder,300307.8,5990853.888,18.11,2.438,1.047,0.258
201,Manual MBES Boulder,298989.378,5992649.425,15.84,1.197,1.34,0.378
202,Manual MBES Boulder,299940.614,5993497.669,18.35,3.833,1.618,0.235
203,Manual MBES Boulder,301978.186,5993037.354,21.01,1.641,1.431,0.215
204,Manual MBES Boulder,303106.743,5993145.984,25.46,2.348,1.029,0.482
205,Manual MBES Boulder,301644.109,5993034.418,22.35,2.058,0.922,0.4
206,Manual MBES Boulder,302915.997,5993147.955,24.86,5.415,1.038,0.239
207,Manual MBES Boulder,300268.893,5992829.019,19.26,2.957,1.587,0.459
208,Manual MBES Boulder,302366.416,5993122.753,22.59,2.679,1.936,0.299
209,Manual MBES Boulder,302276.553,5993092.799,21.99,1.243,1.253,0.516
210,Manual MBES Boulder,299887.248,5993918.541,18.91,0.869,0.845,0.198
211,Manual MBES Boulder,300153.041,5992792.165,18.61,1.369,1.278,0.331
212,Manual MBES Boulder,299854.071,5994201.416,18.74,2.216,1.875,0.23
213,Manual MBES Boulder,300188.093,5991682.361,17.46,1.358,1.204,0.803
214,Manual MBES Boulder,299845.409,5994081.674,18.66,1.393,1.133,0.439
215,Manual MBES Boulder,299844.531,5994084.062,19.05,1.638,0.902,0.156
216,Manual MBES Boulder,300484.896,5992833.905,18.91,1.198,1.089,0.342
217,Manual MBES Boulder,300483.49,5992832.334,19.0,1.338,1.299,0.271
218,Manual MBES Boulder,302390.982,5993142.951,22.48,1.57,1.138,0.309
219,Manual MBES Boulder,300113.351,5992244.474,17.37,1.945,1.26,0.287
220,Manual MBES Boulder,299724.699,5995107.073,19.2,2.466,1.735,0.214
221,Manual MBES Boulder,300107.963,5992324.13,18.18,1.697,1.164,0.175
222,Manual MBES Boulder,300109.365,5992326.053,18.09,0.743,1.218,0.154
223,Manual MBES Boulder,299829.532,5994557.087,18.56,1.755,1.477,0.368
224,Manual MBES Boulder,300915.295,5992915.085,20.69,1.597,1.412,0.524
225,Manual MBES Boulder,299940.286,5993536.48,18.75,1.41,0.848,0.227
226,Manual MBES Boulder,299957.489,5993329.885,18.2,1.249,1.057,0.229
227,Manual MBES Boulder,300410.077,5990203.206,18.54,1.397,1.18,0.29
228,Manual MBES Boulder,302650.745,5993141.319,23.2,1.271,1.374,0.309
229,Manual MBES Boulder,299823.693,5994236.194,18.71,1.268,1.05,0.308
230,Manual MBES Boulder,300556.622,5992866.56,19.4,2.342,1.275,0.236
231,Manual MBES Boulder,300104.27,5992226.565,18.09,1.487,1.015,0.18
232,Manual MBES Boulder,299461.093,5992714.267,17.68,1.522,1.266,0.552
233,Manual MBES Boulder,302384.756,5993142.219,22.43,1.405,0.959,0.282
234,Manual MBES Boulder,302387.424,5993143.509,22.39,1.361,1.017,0.232
235,Manual MBES Boulder,299762.488,5994670.238,18.16,1.873,1.539,0.405
236,Manual MBES Boulder,300113.837,5992224.31,17.78,1.244,0.995,0.213
237,Manual MBES Boulder,301656.471,5992985.739,22.58,2.756,1.393,0.163
238,Manual MBES Boulder,300123.49,5992314.003,17.79,1.505,1.028,0.198
239,Manual MBES Boulder,299844.771,5994112.432,18.71,1.424,1.39,0.251
240,Manual MBES Boulder,299846.075,5994115.08,18.68,1.938,1.258,0.234
241,Manual MBES Boulder,301856.996,5993049.15,21.41,1.88,1.428,0.71
242,Manual MBES Boulder,302290.31,5993085.241,22.37,1.779,1.173,0.309
243,Manual MBES Boulder,301899.018,5993065.294,21.57,1.289,0.752,0.213
244,Manual MBES Boulder,300141.565,5992217.11,17.73,1.862,1.395,0.246
245,Manual MBES Boulder,300256.069,5991207.636,18.4,1.899,1.861,0.414
246,Manual MBES Boulder,300033.855,5992784.47,18.28,1.144,1.056,0.218
247,Manual MBES Boulder,299853.567,5994078.656,18.53,1.672,1.332,0.519
248,Manual MBES Boulder,299854.815,5994077.391,18.74,1.283,0.934,0.264
249,Manual MBES Boulder,301294.198,5992941.215,21.94,1.646,1.169,0.158
250,Manual MBES Boulder,301321.717,5992968.261,22.18,1.184,1.071,0.265
